,attendance,away_team,away_team_errors,away_team_hits,away_team_runs,date,field_type,game_type,home_team,home_team_errors,home_team_hits,home_team_runs,start_time,venue,day_of_week,temperature,wind_speed,wind_direction,sky,total_runs,game_hours_dec,season,home_team_win,home_team_loss,home_team_outcome
10,47820.0,Houston Astros,0,6,5,2016-04-05,on grass,Day Game,New York Yankees,1,4,3,1:11 p.m. Local,Yankee Stadium III,Tuesday,36.0,18.0, from Left to Right,Sunny,8,3.283333333333333,regular season,0,1,Loss
11,24123.0,San Francisco Giants,0,7,2,2016-04-05,on grass,Night Game,Milwaukee Brewers,0,6,1,7:10 p.m. Local,Miller Park,Tuesday,64.0,0.0, in unknown direction,In Dome,3,2.4833333333333334,regular season,0,1,Loss
12,36911.0,Detroit Tigers,1,12,8,2016-04-05,on grass,Night Game,Miami Marlins,2,10,7,7:37 p.m. Local,Marlins Park,Tuesday,77.0,16.0, from Left to Right,Sunny,15,3.783333333333333,regular season,0,1,Loss
13,13468.0,Texas Rangers,0,14,7,2016-04-11,on grass,Night Game,Seattle Mariners,0,7,3,7:10 p.m. Local,Safeco Field,Monday,57.0,2.0, in from Leftfield,Unknown,10,3.0,regular season,0,1,Loss
14,45229.0,San Diego Padres,0,6,4,2016-04-11,on grass,Day Game,Philadelphia Phillies,0,8,3,3:09 p.m. Local,Citizens Bank Park,Monday,66.0,17.0, out to Leftfield,Unknown,7,2.85,regular season,0,1,Loss
15,13371.0,Los Angeles Angels of Anaheim,0,9,4,2016-04-11,on grass,Night Game,Oakland Athletics,0,10,1,7:07 p.m. Local,Oakland-Alameda County Coliseum,Monday,63.0,11.0, out to Rightfield,Cloudy,5,3.0833333333333335,regular season,0,1,Loss
16,24318.0,Miami Marlins,1,15,10,2016-04-11,on grass,Night Game,New York Mets,0,7,3,7:11 p.m. Local,Citi Field,Monday,57.0,15.0, out to Leftfield,Unknown,13,3.75,regular season,0,1,Loss
17,40638.0,Chicago White Sox,0,9,4,2016-04-11,on grass,Day Game,Minnesota Twins,1,6,1,3:16 p.m. Local,Target Field,Monday,42.0,21.0, in from Leftfield,Cloudy,5,3.0833333333333335,regular season,0,1,Loss
18,43332.0,Kansas City Royals,0,11,2,2016-04-11,on grass,Night Game,Houston Astros,0,14,8,7:12 p.m. Local,Minute Maid Park,Monday,73.0,0.0, in unknown direction,In Dome,10,2.9833333333333334,regular season,1,0,Win
19,26271.0,Pittsburgh Pirates,1,17,7,2016-04-11,on grass,Day Game,Detroit Tigers,0,6,4,1:10 p.m. Local,Comerica Park,Monday,56.0,9.0, in from Rightfield,Overcast,11,3.283333333333333,regular season,0,1,Loss
20,40882.0,Cincinnati Reds,1,7,3,2016-04-11,on grass,Night Game,Chicago Cubs,0,3,5,7:06 p.m. Local,Wrigley Field,Monday,48.0,12.0, from Left to Right,Cloudy,8,3.05,regular season,1,0,Win
21,21203.0,Kansas City Royals,0,13,6,2016-04-14,on grass,Night Game,Houston Astros,0,5,2,7:11 p.m. Local,Minute Maid Park,Thursday,75.0,2.0, out to Leftfield,Cloudy,8,2.6833333333333336,regular season,0,1,Loss
22,21226.0,San Francisco Giants,1,9,6,2016-04-14,on grass,Day Game,Colorado Rockies,3,13,11,1:10 p.m. Local,Coors Field,Thursday,72.0,12.0, out to Centerfield,Cloudy,17,3.4333333333333336,regular season,1,0,Win
23,34898.0,Cincinnati Reds,2,6,1,2016-04-14,on grass,Night Game,Chicago Cubs,0,11,8,7:05 p.m. Local,Wrigley Field,Thursday,45.0,8.0, out to Centerfield,Sunny,9,3.1166666666666667,regular season,1,0,Win
24,19400.0,Atlanta Braves,0,5,0,2016-04-13,on grass,Night Game,Washington Nationals,0,4,3,7:05 p.m. Local,Nationals Park,Wednesday,56.0,0.0, in unknown direction,Sunny,3,2.2,regular season,1,0,Win
25,27938.0,New York Yankees,1,8,2,2016-04-13,on turf,Night Game,Toronto Blue Jays,0,10,7,7:08 p.m. Local,Rogers Centre,Wednesday,68.0,0.0, in unknown direction,In Dome,9,2.716666666666667,regular season,1,0,Win
26,16783.0,Toronto Blue Jays,0,8,4,2016-04-19,on grass,Night Game,Baltimore Orioles,1,7,3,7:09 p.m. Local,Oriole Park at Camden Yards,Tuesday,69.0,11.0, in from Centerfield,Sunny,7,2.8333333333333335,regular season,0,1,Loss
27,14160.0,Los Angeles Dodgers,3,5,1,2016-04-19,on grass,Night Game,Atlanta Braves,0,10,8,7:10 p.m. Local,Turner Field,Tuesday,80.0,2.0, out to Centerfield,Unknown,9,2.95,regular season,1,0,Win
28,45432.0,Chicago Cubs,0,9,5,2016-04-18,on grass,Night Game,St. Louis Cardinals,1,5,0,7:09 p.m. Local,Busch Stadium III,Monday,75.0,15.0, from Right to Left,Unknown,5,2.533333333333333,regular season,0,1,Loss
29,41432.0,Arizona Diamondbacks,0,16,9,2016-04-18,on grass,Night Game,San Francisco Giants,0,13,7,7:16 p.m. Local,AT&T Park,Monday,67.0,6.0, out to Centerfield,Cloudy,16,4.583333333333333,regular season,0,1,Loss
30,21585.0,New York Mets,0,10,5,2016-04-18,on grass,Night Game,Philadelphia Phillies,0,7,2,7:07 p.m. Local,Citizens Bank Park,Monday,77.0,4.0, out to Centerfield,Sunny,7,2.85,regular season,0,1,Loss
31,21078.0,Milwaukee Brewers,1,6,4,2016-04-18,on grass,Night Game,Minnesota Twins,1,14,7,7:11 p.m. Local,Target Field,Monday,67.0,14.0, in from Leftfield,Unknown,11,2.35,regular season,1,0,Win
32,16112.0,Washington Nationals,1,6,1,2016-04-18,on grass,Night Game,Miami Marlins,0,10,6,7:11 p.m. Local,Marlins Park,Monday,73.0,0.0, in unknown direction,In Dome,7,2.716666666666667,regular season,1,0,Win
33,12777.0,Colorado Rockies,1,7,5,2016-04-18,on grass,Night Game,Cincinnati Reds,0,4,1,7:10 p.m. Local,Great American Ball Park,Monday,80.0,10.0, out to Centerfield,Sunny,6,2.6833333333333336,regular season,0,1,Loss
34,14706.0,Los Angeles Angels of Anaheim,0,13,7,2016-04-18,on grass,Night Game,Chicago White Sox,1,3,0,7:11 p.m. Local,U.S. Cellular Field,Monday,75.0,12.0, in from Leftfield,Unknown,7,2.966666666666667,regular season,0,1,Loss
35,37168.0,Toronto Blue Jays,0,8,4,2016-04-18,on grass,Day Game,Boston Red Sox,1,7,3,11:07 a.m. Local,Fenway Park,Monday,66.0,8.0, in from Leftfield,Cloudy,7,3.2,regular season,0,1,Loss
36,21810.0,Chicago White Sox,1,5,2,2016-04-17,on turf,Day Game,Tampa Bay Rays,0,8,3,1:10 p.m. Local,Tropicana Field,Sunday,72.0,0.0, in unknown direction,In Dome,5,2.6,regular season,1,0,Win
37,46268.0,Cincinnati Reds,1,8,3,2016-04-17,on grass,Day Game,St. Louis Cardinals,2,7,4,1:15 p.m. Local,Busch Stadium III,Sunday,78.0,11.0, out to Leftfield,Cloudy,7,2.7333333333333334,regular season,1,0,Win
38,16497.0,Chicago Cubs,0,18,16,2016-04-21,on grass,Night Game,Cincinnati Reds,1,0,0,7:11 p.m. Local,Great American Ball Park,Thursday,58.0,13.0, in unknown direction,Overcast,16,2.9333333333333336,regular season,0,1,Loss
39,24333.0,Chicago White Sox,0,11,7,2016-04-25,on turf,Night Game,Toronto Blue Jays,0,14,5,7:08 p.m. Local,Rogers Centre,Monday,68.0,0.0, in unknown direction,In Dome,12,3.4,regular season,0,1,Loss
40,31453.0,New York Yankees,1,10,3,2016-04-25,on grass,Night Game,Texas Rangers,0,3,1,7:10 p.m. Local,Globe Life Park in Arlington,Monday,82.0,10.0, from Right to Left,Cloudy,4,2.7666666666666666,regular season,0,1,Loss
41,12996.0,Baltimore Orioles,0,5,0,2016-04-25,on turf,Night Game,Tampa Bay Rays,0,5,2,7:10 p.m. Local,Tropicana Field,Monday,72.0,0.0, in unknown direction,In Dome,2,2.6166666666666667,regular season,1,0,Win
42,41266.0,San Diego Padres,0,11,4,2016-04-25,on grass,Night Game,San Francisco Giants,0,12,5,7:15 p.m. Local,AT&T Park,Monday,59.0,22.0, out to Rightfield,Sunny,9,3.783333333333333,regular season,1,0,Win
43,14832.0,Houston Astros,0,10,2,2016-04-25,on grass,Night Game,Seattle Mariners,0,4,3,7:11 p.m. Local,Safeco Field,Monday,56.0,3.0, in from Rightfield,Cloudy,5,2.6666666666666665,regular season,1,0,Win
44,30250.0,Cincinnati Reds,0,8,3,2016-04-25,on grass,Night Game,New York Mets,1,10,5,7:10 p.m. Local,Citi Field,Monday,64.0,8.0, from Right to Left,Cloudy,8,3.183333333333333,regular season,1,0,Win
45,17503.0,Cleveland Indians,0,12,3,2016-04-25,on grass,Night Game,Minnesota Twins,1,5,4,7:11 p.m. Local,Target Field,Monday,50.0,10.0, from Left to Right,Overcast,7,3.4,regular season,1,0,Win
46,44954.0,Miami Marlins,1,8,3,2016-04-25,on grass,Night Game,Los Angeles Dodgers,0,7,2,7:10 p.m. Local,Dodger Stadium,Monday,61.0,17.0, from Left to Right,Sunny,5,2.85,regular season,0,1,Loss
47,21671.0,Oakland Athletics,0,10,3,2016-04-25,on grass,Night Game,Detroit Tigers,2,12,7,7:10 p.m. Local,Comerica Park,Monday,64.0,12.0, in from Leftfield,Unknown,10,2.65,regular season,1,0,Win
48,20674.0,Pittsburgh Pirates,0,9,6,2016-04-25,on grass,Night Game,Colorado Rockies,0,9,1,6:40 p.m. Local,Coors Field,Monday,64.0,6.0, out to Rightfield,Unknown,7,2.9833333333333334,regular season,0,1,Loss
49,22735.0,Boston Red Sox,0,6,1,2016-04-25,on grass,Night Game,Atlanta Braves,2,4,0,7:10 p.m. Local,Turner Field,Monday,75.0,8.0, out to Leftfield,Cloudy,1,2.9166666666666665,regular season,0,1,Loss
50,18208.0,St. Louis Cardinals,1,11,7,2016-04-25,on grass,Night Game,Arizona Diamondbacks,0,18,12,6:40 p.m. Local,Chase Field,Monday,76.0,0.0, in unknown direction,In Dome,19,3.4333333333333336,regular season,1,0,Win
51,41357.0,San Diego Padres,1,9,9,2016-04-27,on grass,Day Game,San Francisco Giants,0,16,13,12:45 p.m. Local,AT&T Park,Wednesday,59.0,16.0, from Right to Left,Overcast,22,3.35,regular season,1,0,Win
52,27217.0,Toronto Blue Jays,0,5,5,2016-05-01,on turf,Day Game,Tampa Bay Rays,1,4,1,1:10 p.m. Local,Tropicana Field,Sunday,72.0,0.0, in unknown direction,In Dome,6,2.5666666666666664,regular season,0,1,Loss
53,42933.0,Washington Nationals,0,11,6,2016-05-01,on grass,Day Game,St. Louis Cardinals,0,6,1,1:15 p.m. Local,Busch Stadium III,Sunday,68.0,8.0, out to Rightfield,Cloudy,7,2.783333333333333,regular season,0,1,Loss
54,37053.0,Kansas City Royals,0,11,4,2016-05-01,on grass,Day Game,Seattle Mariners,1,8,1,1:10 p.m. Local,Safeco Field,Sunday,66.0,8.0, out to Centerfield,Sunny,5,3.2333333333333334,regular season,0,1,Loss
55,28755.0,Cincinnati Reds,0,8,6,2016-05-01,on grass,Day Game,Pittsburgh Pirates,4,9,5,1:36 p.m. Local,PNC Park,Sunday,67.0,8.0, out to Rightfield,Unknown,11,3.7,regular season,0,1,Loss
56,23809.0,Cleveland Indians,0,4,1,2016-05-01,on grass,Day Game,Philadelphia Phillies,2,4,2,2:40 p.m. Local,Citizens Bank Park,Sunday,51.0,1.0, out to Centerfield,Overcast,3,2.6666666666666665,regular season,1,0,Win
57,24135.0,Houston Astros,0,2,2,2016-05-01,on grass,Day Game,Oakland Athletics,0,8,1,1:07 p.m. Local,Oakland-Alameda County Coliseum,Sunday,71.0,5.0, out to Rightfield,Sunny,3,2.8333333333333335,regular season,0,1,Loss
58,39077.0,San Francisco Giants,0,8,6,2016-05-01,on grass,Day Game,New York Mets,0,10,1,1:12 p.m. Local,Citi Field,Sunday,50.0,14.0, from Right to Left,Drizzle,7,3.3166666666666664,regular season,0,1,Loss
59,24749.0,Detroit Tigers,0,14,6,2016-05-01,on grass,Day Game,Minnesota Twins,0,11,5,1:11 p.m. Local,Target Field,Sunday,58.0,10.0, in from Leftfield,Cloudy,11,3.55,regular season,0,1,Loss
60,28181.0,Miami Marlins,1,16,5,2016-05-01,on grass,Day Game,Milwaukee Brewers,0,18,14,1:11 p.m. Local,Miller Park,Sunday,67.0,0.0, in unknown direction,In Dome,19,3.35,regular season,1,0,Win
61,49271.0,San Diego Padres,1,3,0,2016-05-01,on grass,Day Game,Los Angeles Dodgers,0,3,1,1:10 p.m. Local,Dodger Stadium,Sunday,70.0,6.0, out to Centerfield,Sunny,1,2.1166666666666667,regular season,1,0,Win
62,40164.0,Atlanta Braves,1,5,4,2016-05-01,on grass,Day Game,Chicago Cubs,1,6,3,1:21 p.m. Local,Wrigley Field,Sunday,44.0,14.0, in from Centerfield,Overcast,7,3.066666666666667,regular season,0,1,Loss
63,34279.0,New York Yankees,2,9,7,2016-05-01,on grass,Night Game,Boston Red Sox,0,14,8,8:09 p.m. Local,Fenway Park,Sunday,49.0,9.0, from Right to Left,Drizzle,15,3.283333333333333,regular season,1,0,Win
64,40087.0,Philadelphia Phillies,0,5,1,2016-05-03,on grass,Night Game,St. Louis Cardinals,0,3,0,7:15 p.m. Local,Busch Stadium III,Tuesday,63.0,5.0, out to Rightfield,Cloudy,1,2.5166666666666666,regular season,0,1,Loss
65,42338.0,Pittsburgh Pirates,0,11,4,2016-05-07,on grass,Day Game,St. Louis Cardinals,1,9,6,1:16 p.m. Local,Busch Stadium III,Saturday,84.0,14.0, out to Rightfield,Sunny,10,3.3833333333333333,regular season,1,0,Win
66,41590.0,Colorado Rockies,0,12,1,2016-05-07,on grass,Day Game,San Francisco Giants,0,7,2,1:05 p.m. Local,AT&T Park,Saturday,60.0,6.0, out to Centerfield,Overcast,3,4.333333333333333,regular season,1,0,Win
67,41028.0,New York Mets,0,9,6,2016-05-07,on grass,Night Game,San Diego Padres,0,8,3,5:41 p.m. Local,Petco Park,Saturday,60.0,15.0, from Left to Right,Sunny,9,2.8666666666666667,regular season,0,1,Loss
68,47822.0,Boston Red Sox,0,6,2,2016-05-07,on grass,Day Game,New York Yankees,1,11,8,1:08 p.m. Local,Yankee Stadium III,Saturday,53.0,10.0, in from Leftfield,Unknown,10,3.15,regular season,1,0,Win
69,21719.0,Philadelphia Phillies,0,5,4,2016-05-07,on grass,Night Game,Miami Marlins,1,10,3,7:10 p.m. Local,Marlins Park,Saturday,78.0,5.0, in from Leftfield,Sunny,7,3.3333333333333335,regular season,0,1,Loss
70,31559.0,Seattle Mariners,0,11,3,2016-05-07,on grass,Night Game,Houston Astros,1,8,2,6:11 p.m. Local,Minute Maid Park,Saturday,81.0,11.0, in from Leftfield,Cloudy,5,3.45,regular season,0,1,Loss
71,35551.0,Texas Rangers,0,10,10,2016-05-07,on grass,Day Game,Detroit Tigers,0,11,5,1:10 p.m. Local,Comerica Park,Saturday,68.0,8.0, from Right to Left,Overcast,15,3.2333333333333334,regular season,0,1,Loss
72,17302.0,Kansas City Royals,0,12,7,2016-05-07,on grass,Day Game,Cleveland Indians,0,6,0,4:10 p.m. Local,Progressive Field,Saturday,69.0,5.0, from Right to Left,Overcast,7,2.6833333333333336,regular season,0,1,Loss
73,27567.0,Milwaukee Brewers,2,15,13,2016-05-07,on grass,Night Game,Cincinnati Reds,3,11,7,7:10 p.m. Local,Great American Ball Park,Saturday,73.0,11.0, out to Leftfield,Overcast,20,3.6333333333333333,regular season,0,1,Loss
74,40471.0,Washington Nationals,0,6,5,2016-05-07,on grass,Day Game,Chicago Cubs,1,11,8,3:05 p.m. Local,Wrigley Field,Saturday,51.0,23.0, in from Leftfield,Sunny,13,3.533333333333333,regular season,1,0,Win
75,28049.0,Minnesota Twins,0,4,2,2016-05-07,on grass,Night Game,Chicago White Sox,0,13,7,6:10 p.m. Local,U.S. Cellular Field,Saturday,60.0,16.0, from Left to Right,Sunny,9,2.966666666666667,regular season,1,0,Win
76,29862.0,Oakland Athletics,1,9,2,2016-05-07,on grass,Night Game,Baltimore Orioles,0,8,5,7:07 p.m. Local,Oriole Park at Camden Yards,Saturday,62.0,1.0, from Right to Left,Sunny,7,2.533333333333333,regular season,1,0,Win
77,15230.0,Tampa Bay Rays,1,4,2,2016-05-09,on grass,Night Game,Seattle Mariners,0,9,5,7:10 p.m. Local,Safeco Field,Monday,66.0,3.0, out to Rightfield,Cloudy,7,3.0833333333333335,regular season,1,0,Win
78,14604.0,Oakland Athletics,1,11,6,2016-05-13,on turf,Night Game,Tampa Bay Rays,0,5,3,7:10 p.m. Local,Tropicana Field,Friday,72.0,0.0, in unknown direction,In Dome,9,3.1166666666666667,regular season,0,1,Loss
79,34579.0,Los Angeles Angels of Anaheim,0,13,7,2016-05-13,on grass,Night Game,Seattle Mariners,0,10,6,7:10 p.m. Local,Safeco Field,Friday,76.0,2.0, out to Centerfield,Unknown,13,3.6833333333333336,regular season,0,1,Loss
80,22230.0,Cincinnati Reds,0,4,2,2016-05-13,on grass,Night Game,Philadelphia Phillies,1,7,3,7:09 p.m. Local,Citizens Bank Park,Friday,68.0,6.0, from Left to Right,Unknown,5,2.6166666666666667,regular season,1,0,Win
81,34264.0,Chicago White Sox,0,9,7,2016-05-13,on grass,Night Game,New York Yankees,0,6,1,7:08 p.m. Local,Yankee Stadium III,Friday,62.0,1.0, in unknown direction,Drizzle,8,2.75,regular season,0,1,Loss
82,35291.0,San Diego Padres,0,3,0,2016-05-13,on grass,Night Game,Milwaukee Brewers,2,7,1,7:10 p.m. Local,Miller Park,Friday,67.0,0.0, in unknown direction,In Dome,1,2.9333333333333336,regular season,1,0,Win
83,46716.0,St. Louis Cardinals,4,9,4,2016-05-13,on grass,Night Game,Los Angeles Dodgers,1,11,8,7:10 p.m. Local,Dodger Stadium,Friday,67.0,7.0, out to Rightfield,Cloudy,12,3.0166666666666666,regular season,1,0,Win
84,33132.0,Atlanta Braves,2,7,1,2016-05-13,on grass,Night Game,Kansas City Royals,1,7,5,7:15 p.m. Local,Kauffman Stadium,Friday,62.0,21.0, from Left to Right,Unknown,6,2.75,regular season,1,0,Win
85,38712.0,New York Mets,0,6,2,2016-05-13,on grass,Night Game,Colorado Rockies,0,12,5,6:42 p.m. Local,Coors Field,Friday,56.0,8.0, from Right to Left,Unknown,7,2.8,regular season,1,0,Win
86,17803.0,Minnesota Twins,1,8,6,2016-05-13,on grass,Night Game,Cleveland Indians,2,8,7,7:10 p.m. Local,Progressive Field,Friday,62.0,11.0, from Left to Right,Sunny,13,3.1166666666666667,regular season,1,0,Win
87,37479.0,Pittsburgh Pirates,0,11,4,2016-05-13,on grass,Day Game,Chicago Cubs,1,11,9,1:20 p.m. Local,Wrigley Field,Friday,65.0,11.0, out to Rightfield,Cloudy,13,2.9166666666666665,regular season,1,0,Win
88,33148.0,Houston Astros,0,13,7,2016-05-13,on grass,Night Game,Boston Red Sox,0,11,6,7:10 p.m. Local,Fenway Park,Friday,65.0,12.0, out to Centerfield,Unknown,13,3.8166666666666664,regular season,0,1,Loss
89,30488.0,Detroit Tigers,0,6,0,2016-05-13,on grass,Night Game,Baltimore Orioles,0,4,1,7:07 p.m. Local,Oriole Park at Camden Yards,Friday,75.0,4.0, out to Rightfield,Sunny,1,2.65,regular season,1,0,Win
90,27869.0,Cincinnati Reds,1,14,9,2016-05-15,on grass,Day Game,Philadelphia Phillies,2,12,4,1:39 p.m. Local,Citizens Bank Park,Sunday,54.0,23.0, from Left to Right,Unknown,13,3.8666666666666667,regular season,0,1,Loss
91,27257.0,Atlanta Braves,0,8,7,2016-05-20,on grass,Night Game,Philadelphia Phillies,2,6,1,7:07 p.m. Local,Citizens Bank Park,Friday,72.0,4.0, from Left to Right,Unknown,8,3.0,regular season,0,1,Loss
92,28235.0,New York Yankees,1,13,8,2016-05-20,on grass,Night Game,Oakland Athletics,3,6,3,6:38 p.m. Local,Oakland-Alameda County Coliseum,Friday,59.0,22.0, out to Rightfield,Unknown,11,3.216666666666667,regular season,0,1,Loss
93,36239.0,Milwaukee Brewers,0,3,2,2016-05-20,on grass,Night Game,New York Mets,0,7,3,7:11 p.m. Local,Citi Field,Friday,69.0,12.0, out to Leftfield,Sunny,5,2.5166666666666666,regular season,1,0,Win
94,29396.0,Toronto Blue Jays,2,14,9,2016-05-20,on grass,Night Game,Minnesota Twins,0,10,3,7:11 p.m. Local,Target Field,Friday,73.0,6.0, from Right to Left,Cloudy,12,2.8,regular season,0,1,Loss
95,20017.0,Washington Nationals,0,8,4,2016-05-20,on grass,Night Game,Miami Marlins,0,9,1,7:11 p.m. Local,Marlins Park,Friday,77.0,0.0, in unknown direction,In Dome,5,2.8833333333333333,regular season,0,1,Loss
96,28724.0,Texas Rangers,0,5,2,2016-05-20,on grass,Night Game,Houston Astros,0,6,1,7:11 p.m. Local,Minute Maid Park,Friday,82.0,9.0, in from Leftfield,Sunny,3,2.55,regular season,0,1,Loss
97,30304.0,Tampa Bay Rays,2,8,7,2016-05-20,on grass,Night Game,Detroit Tigers,1,11,5,7:10 p.m. Local,Comerica Park,Friday,68.0,9.0, out to Rightfield,Unknown,12,3.4333333333333336,regular season,0,1,Loss
98,20435.0,Seattle Mariners,0,10,8,2016-05-20,on grass,Night Game,Cincinnati Reds,0,8,3,7:55 p.m. Local,Great American Ball Park,Friday,59.0,7.0, from Right to Left,Rain,11,3.1666666666666665,regular season,0,1,Loss
99,24020.0,Kansas City Royals,1,12,4,2016-05-20,on grass,Night Game,Chicago White Sox,1,6,1,7:11 p.m. Local,U.S. Cellular Field,Friday,64.0,13.0, from Left to Right,Unknown,5,2.9833333333333334,regular season,0,1,Loss
100,37354.0,Cleveland Indians,1,8,4,2016-05-20,on grass,Night Game,Boston Red Sox,1,6,2,7:11 p.m. Local,Fenway Park,Friday,66.0,10.0, out to Leftfield,Cloudy,6,3.1166666666666667,regular season,0,1,Loss
101,40987.0,Baltimore Orioles,1,14,9,2016-05-20,on grass,Night Game,Los Angeles Angels of Anaheim,1,7,4,7:08 p.m. Local,Angel Stadium of Anaheim,Friday,65.0,5.0, out to Leftfield,Cloudy,13,3.3333333333333335,regular season,0,1,Loss
102,43683.0,Colorado Rockies,0,9,7,2016-05-19,on grass,Night Game,St. Louis Cardinals,0,12,13,6:16 p.m. Local,Busch Stadium III,Thursday,69.0,6.0, from Right to Left,Overcast,20,3.2666666666666666,regular season,1,0,Win
103,41280.0,Baltimore Orioles,1,5,2,2016-05-22,on grass,Day Game,Los Angeles Angels of Anaheim,0,13,10,12:39 p.m. Local,Angel Stadium of Anaheim,Sunday,71.0,7.0, out to Centerfield,Cloudy,12,2.55,regular season,1,0,Win
104,26176.0,St. Louis Cardinals,0,6,1,2016-05-26,on grass,Night Game,Washington Nationals,1,7,2,7:05 p.m. Local,Nationals Park,Thursday,83.0,4.0, out to Leftfield,Cloudy,3,2.45,regular season,1,0,Win
105,11399.0,Miami Marlins,0,15,9,2016-05-26,on turf,Day Game,Tampa Bay Rays,1,7,1,1:10 p.m. Local,Tropicana Field,Thursday,72.0,0.0, in unknown direction,In Dome,10,2.85,regular season,0,1,Loss
106,30861.0,Arizona Diamondbacks,1,13,3,2016-05-26,on grass,Day Game,Pittsburgh Pirates,1,12,8,12:39 p.m. Local,PNC Park,Thursday,78.0,10.0, in from Rightfield,Cloudy,11,3.6666666666666665,regular season,1,0,Win
107,38391.0,Toronto Blue Jays,0,6,3,2016-05-26,on grass,Day Game,New York Yankees,1,4,1,4:07 p.m. Local,Yankee Stadium III,Thursday,85.0,10.0, from Right to Left,Sunny,4,2.5666666666666664,regular season,0,1,Loss
108,23826.0,Baltimore Orioles,1,5,2,2016-05-26,on grass,Night Game,Houston Astros,1,6,4,7:10 p.m. Local,Minute Maid Park,Thursday,73.0,0.0, in unknown direction,In Dome,6,3.05,regular season,1,0,Win
109,36162.0,Colorado Rockies,0,12,8,2016-05-26,on grass,Night Game,Boston Red Sox,1,6,2,7:12 p.m. Local,Fenway Park,Thursday,63.0,12.0, from Right to Left,Unknown,10,2.85,regular season,0,1,Loss
110,14885.0,Milwaukee Brewers,0,10,6,2016-05-26,on grass,Night Game,Atlanta Braves,0,8,2,7:10 p.m. Local,Turner Field,Thursday,85.0,6.0, out to Leftfield,Cloudy,8,3.0833333333333335,regular season,0,1,Loss
111,38700.0,New York Mets,0,5,2,2016-05-25,on grass,Day Game,Washington Nationals,2,6,0,1:05 p.m. Local,Nationals Park,Wednesday,83.0,7.0, from Left to Right,Unknown,2,2.6333333333333333,regular season,0,1,Loss
112,32480.0,Los Angeles Angels of Anaheim,2,14,9,2016-05-25,on grass,Day Game,Texas Rangers,0,18,15,1:08 p.m. Local,Globe Life Park in Arlington,Wednesday,83.0,15.0, from Right to Left,Unknown,24,3.5666666666666664,regular season,1,0,Win
113,13554.0,Miami Marlins,0,13,4,2016-05-25,on turf,Night Game,Tampa Bay Rays,2,9,3,7:10 p.m. Local,Tropicana Field,Wednesday,72.0,0.0, in unknown direction,In Dome,7,3.3666666666666667,regular season,0,1,Loss
